season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2015,1,1,2015-08-10,2015-08-10T00:00:00Z,MIN,PIT,3,14
2015,1,2,2015-08-13,2015-08-13T23:30:00Z,NWE,GBY,22,11
2015,1,2,2015-08-13,2015-08-13T23:30:00Z,BAL,NOR,27,30
2015,1,2,2015-08-13,2015-08-13T23:30:00Z,DET,NYJ,3,23
2015,1,2,2015-08-14,2015-08-14T00:00:00Z,CHI,MIA,10,27
2015,1,2,2015-08-14,2015-08-14T00:00:00Z,CLE,WAS,20,17
2015,1,2,2015-08-14,2015-08-14T23:00:00Z,BUF,CAR,25,24
2015,1,2,2015-08-14,2015-08-14T23:00:00Z,ATL,TEN,24,31
2015,1,2,2015-08-14,2015-08-14T23:30:00Z,CIN,NYG,10,23
2015,1,2,2015-08-14,2015-08-14T23:30:00Z,JAX,PIT,21,23
2015,1,2,2015-08-15,2015-08-15T02:00:00Z,SEA,DEN,22,20
2015,1,2,2015-08-16,2015-08-16T00:00:00Z,HOU,SFO,10,23
2015,1,2,2015-08-16,2015-08-16T00:00:00Z,MIN,TBY,16,26
2015,1,2,2015-08-16,2015-08-16T01:00:00Z,ARI,KCY,34,19
2015,1,2,2015-08-16,2015-08-16T17:00:00Z,PHI,IND,10,36
2015,1,3,2015-08-20,2015-08-20T23:30:00Z,WAS,DET,17,21
2015,1,3,2015-08-21,2015-08-21T00:00:00Z,CLE,BUF,11,10
2015,1,3,2015-08-21,2015-08-21T23:30:00Z,NYJ,ATL,22,30
2015,1,3,2015-08-22,2015-08-22T00:00:00Z,KCY,SEA,13,14
2015,1,3,2015-08-22,2015-08-22T23:00:00Z,PHI,BAL,17,40
2015,1,3,2015-08-22,2015-08-22T23:00:00Z,CAR,MIA,30,31
2015,1,3,2015-08-22,2015-08-22T23:30:00Z,IND,CHI,23,11
2015,1,3,2015-08-22,2015-08-22T23:30:00Z,NYG,JAX,12,22
2015,1,3,2015-08-22,2015-08-22T23:30:00Z,NOR,NWE,26,24
2015,1,3,2015-08-23,2015-08-23T00:00:00Z,HOU,DEN,14,10
2015,1,3,2015-08-23,2015-08-23T00:00:00Z,MIN,OAK,12,20
2015,1,3,2015-08-23,2015-08-23T17:00:00Z,PIT,GBY,19,24
2015,1,3,2015-08-24,2015-08-24T00:00:00Z,SFO,DAL,6,23
2015,1,3,2015-08-25,2015-08-25T00:00:00Z,TBY,CIN,11,25
2015,1,4,2015-08-28,2015-08-28T23:30:00Z,CAR,NWE,17,16
2015,1,4,2015-08-29,2015-08-29T00:00:00Z,JAX,DET,22,17
2015,1,4,2015-08-29,2015-08-29T00:00:00Z,KCY,TEN,10,34
2015,1,4,2015-08-29,2015-08-29T20:00:00Z,BUF,PIT,19,43
2015,1,4,2015-08-29,2015-08-29T23:00:00Z,MIA,ATL,9,13
2015,1,4,2015-08-29,2015-08-29T23:00:00Z,TBY,CLE,31,7
2015,1,4,2015-08-29,2015-08-29T23:00:00Z,DAL,MIN,28,14
2015,1,4,2015-08-29,2015-08-29T23:00:00Z,NYG,NYJ,28,18
2015,1,4,2015-08-29,2015-08-29T23:30:00Z,CIN,CHI,10,21
2015,1,4,2015-08-29,2015-08-29T23:30:00Z,BAL,WAS,31,13
2015,1,4,2015-08-30,2015-08-30T00:00:00Z,GBY,PHI,39,26
2015,1,4,2015-08-30,2015-08-30T01:00:00Z,DEN,SFO,12,19
2015,1,4,2015-08-30,2015-08-30T20:00:00Z,NOR,HOU,27,13
2015,1,4,2015-08-31,2015-08-31T00:00:00Z,OAK,ARI,30,23
2015,1,5,2015-09-03,2015-09-03T23:00:00Z,ATL,BAL,19,20
2015,1,5,2015-09-03,2015-09-03T23:00:00Z,IND,CIN,9,6
2015,1,5,2015-09-03,2015-09-03T23:00:00Z,GBY,NOR,10,38
2015,1,5,2015-09-03,2015-09-03T23:00:00Z,NYJ,PHI,18,24
2015,1,5,2015-09-03,2015-09-03T23:00:00Z,MIA,TBY,22,17
2015,1,5,2015-09-03,2015-09-03T23:30:00Z,DET,BUF,10,17
2015,1,5,2015-09-03,2015-09-03T23:30:00Z,PIT,CAR,23,6
2015,1,5,2015-09-03,2015-09-03T23:30:00Z,WAS,JAX,17,16
2015,1,5,2015-09-03,2015-09-03T23:30:00Z,NWE,NYG,12,9
2015,1,5,2015-09-04,2015-09-04T00:00:00Z,CHI,CLE,0,24
2015,1,5,2015-09-04,2015-09-04T00:00:00Z,DAL,HOU,14,21
2015,1,5,2015-09-04,2015-09-04T00:00:00Z,TEN,MIN,17,24
2015,1,5,2015-09-04,2015-09-04T01:00:00Z,DEN,ARI,22,20
2015,1,5,2015-09-04,2015-09-04T02:00:00Z,SEA,OAK,21,31
2015,2,1,2015-09-11,2015-09-11T00:30:00Z,NWE,PIT,21,28
2015,2,1,2015-09-13,2015-09-13T17:00:00Z,JAX,CAR,20,9
2015,2,1,2015-09-13,2015-09-13T17:00:00Z,NYJ,CLE,10,31
2015,2,1,2015-09-13,2015-09-13T17:00:00Z,CHI,GBY,31,23
2015,2,1,2015-09-13,2015-09-13T17:00:00Z,BUF,IND,14,27
2015,2,1,2015-09-13,2015-09-13T17:00:00Z,HOU,KCY,27,20
2015,2,1,2015-09-13,2015-09-13T17:00:00Z,WAS,MIA,17,10
2015,2,1,2015-09-13,2015-09-13T20:05:00Z,ARI,NOR,19,31
2015,2,1,2015-09-13,2015-09-13T20:25:00Z,DEN,BAL,13,19
2015,2,1,2015-09-13,2015-09-13T20:25:00Z,OAK,CIN,33,13
2015,2,1,2015-09-13,2015-09-13T20:25:00Z,TBY,TEN,42,14
2015,2,1,2015-09-14,2015-09-14T00:30:00Z,DAL,NYG,26,27
2015,2,1,2015-09-14,2015-09-14T22:55:00Z,ATL,PHI,24,26
2015,2,1,2015-09-15,2015-09-15T02:15:00Z,SFO,MIN,3,20
2015,2,2,2015-09-18,2015-09-18T00:25:00Z,KCY,DEN,31,24
2015,2,2,2015-09-20,2015-09-20T17:00:00Z,CHI,ARI,48,23
2015,2,2,2015-09-20,2015-09-20T17:00:00Z,NYG,ATL,24,20
2015,2,2,2015-09-20,2015-09-20T17:00:00Z,MIN,DET,16,26
