season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2011,1,2,2011-08-11,2011-08-11T23:30:00Z,PHI,BAL,6,13
2011,1,2,2011-08-11,2011-08-11T23:30:00Z,NWE,JAX,12,47
2011,1,2,2011-08-12,2011-08-12T00:30:00Z,DAL,DEN,23,24
2011,1,2,2011-08-12,2011-08-12T02:00:00Z,OAK,ARI,24,18
2011,1,2,2011-08-12,2011-08-12T23:30:00Z,DET,CIN,3,34
2011,1,2,2011-08-12,2011-08-12T23:30:00Z,ATL,MIA,28,23
2011,1,2,2011-08-12,2011-08-12T23:30:00Z,WAS,PIT,7,16
2011,1,2,2011-08-13,2011-08-13T00:00:00Z,NOR,SFO,3,24
2011,1,2,2011-08-13,2011-08-13T00:00:00Z,KCY,TBY,25,0
2011,1,2,2011-08-13,2011-08-13T23:30:00Z,CLE,GBY,17,27
2011,1,2,2011-08-14,2011-08-14T00:00:00Z,CHI,BUF,3,10
2011,1,2,2011-08-14,2011-08-14T00:00:00Z,TEN,MIN,3,14
2011,1,2,2011-08-14,2011-08-14T00:00:00Z,CAR,NYG,10,20
2011,1,2,2011-08-16,2011-08-16T00:00:00Z,HOU,NYJ,16,20
2011,1,3,2011-08-18,2011-08-18T23:30:00Z,TBY,NWE,31,14
2011,1,3,2011-08-19,2011-08-19T00:00:00Z,PIT,PHI,14,24
2011,1,3,2011-08-19,2011-08-19T23:00:00Z,IND,WAS,16,3
2011,1,3,2011-08-19,2011-08-19T23:30:00Z,MIA,CAR,10,20
2011,1,3,2011-08-19,2011-08-19T23:30:00Z,CLE,DET,30,28
2011,1,3,2011-08-19,2011-08-19T23:30:00Z,BAL,KCY,13,31
2011,1,3,2011-08-20,2011-08-20T00:00:00Z,GBY,ARI,20,28
2011,1,3,2011-08-20,2011-08-20T00:00:00Z,JAX,ATL,13,15
2011,1,3,2011-08-21,2011-08-21T00:00:00Z,HOU,NOR,14,27
2011,1,3,2011-08-21,2011-08-21T00:00:00Z,SFO,OAK,3,17
2011,1,3,2011-08-21,2011-08-21T00:30:00Z,DEN,BUF,10,24
2011,1,3,2011-08-21,2011-08-21T02:00:00Z,SEA,MIN,20,7
2011,1,3,2011-08-21,2011-08-21T23:00:00Z,NYJ,CIN,7,27
2011,1,3,2011-08-23,2011-08-23T00:00:00Z,NYG,CHI,13,41
