tm,city,state,country,lat,lng,pop
ARI,Glendale,AZ,US,33.53865,-112.18599,240126
ATL,Atlanta,GA,US,33.749,-84.38798,463878
BAL,New Baltimore,MD,US,39.29038,-76.61219,621849
BUF,Buffalo City,NY,US,42.88645,-78.87837,258071
CAR,City of Charlotte,NC,US,35.22709,-80.84313,827097
CHI,Chicago-Naperville-Joliet,IL,US,41.85003,-87.65005,2720546
CIN,Austell,OH,US,39.12711,-84.51439,296943
CLE,Cleveland County,OH,US,41.4995,-81.69541,388072
DAL,Dallas City,TX,US,32.78306,-96.80667,1300092
DEN,Denver,CO,US,39.73915,-104.9847,682545
DET,Detroit Lakes,MI,US,42.33143,-83.04575,677116
GBY,Town of Green Bay,WI,US,44.51916,-88.01983,105207
HOU,Houston,TX,US,29.76328,-95.36327,2296224
IND,Indianapolis,IN,US,39.76838,-86.15804,829718
JAX,Wallace,FL,US,30.33218,-81.65565,868031
KCY,Randolph,KS,US,39.11417,-94.62746,151306
LAR,Los Angeles County,CA,US,34.05223,-118.24368,3971883
LAC,Los Angeles County,CA,US,34.05223,-118.24368,3971883
MIA,Miami Beach,FL,US,25.77427,-80.19366,441003
MIN,Minneapolis,MN,US,44.97997,-93.26384,410939
NWE,Foxborough,MA,US,42.06538,-71.24783,5625
NOR,New Orleans,LA,US,29.95465,-90.07507,389617
NYG,New York City,NY,US,40.71427,-74.00597,8175133
NYJ,New York City,NY,US,40.71427,-74.00597,8175133
OAK,Oakland,CA,US,37.80437,-122.2708,419267
PHI,City of Philadelphia,PA,US,39.95233,-75.16379,1567442
PIT,Hymera,PA,US,40.44062,-79.99589,304391
SFO,San Francisco,CA,US,37.77493,-122.41942,864816
SEA,Seattle,WA,US,47.60621,-122.33207,684451
TBY,Tampa-St. Petersburg-Clearwater,FL,US,27.87307,-82.51007,2733761
TEN,Town of Nashville,TN,US,36.16589,-86.78444,530852
WAS,"Washington, D.C.",DC,US,38.89511,-77.03637,601723
SDO,City of San Diego,CA,US,32.71571,-117.16472,1394928
STL,Saint Louis County,MO,US,38.63162,-90.24925,2816710
LAR,Los Angeles County,CA,US,34.05223,-118.24368,3971883
