eventId,eventUid,eventDate,eventName,eventShortName,venueFullName,venueCity,teamNameHome,teamAbbreviationHome,teamScoreHome,teamNameAway,teamAbbreviationAway,teamScoreAway
401030935,s:20~l:28~e:401030935,2018-12-02T21:05Z,Kansas City Chiefs at Oakland Raiders,KC @ OAK,Oakland Coliseum,Oakland,Raiders,OAK,0,Chiefs,KC,0
401030959,s:20~l:28~e:401030959,2018-12-02T21:25Z,Minnesota Vikings at New England Patriots,MIN @ NE,Gillette Stadium,Foxboro,Patriots,NE,0,Vikings,MIN,0
401030958,s:20~l:28~e:401030958,2018-12-03T01:20Z,San Francisco 49ers at Seattle Seahawks,SF @ SEA,CenturyLink Field,Seattle,Seahawks,SEA,0,49ers,SF,0
401030871,s:20~l:28~e:401030871,2018-12-04T01:15Z,Washington Redskins at Philadelphia Eagles,WSH @ PHI,Lincoln Financial Field,Philadelphia,Eagles,PHI,0,Redskins,WSH,0
401030724,s:20~l:28~e:401030724,2018-12-07T01:20Z,Jacksonville Jaguars at Tennessee Titans,JAX @ TEN,Nissan Stadium,Nashville,Titans,TEN,0,Jaguars,JAX,0
401030750,s:20~l:28~e:401030750,2018-12-09T18:00Z,New York Jets at Buffalo Bills,NYJ @ BUF,New Era Field,Buffalo,Bills,BUF,0,Jets,NYJ,0
401030817,s:20~l:28~e:401030817,2018-12-09T18:00Z,Los Angeles Rams at Chicago Bears,LAR @ CHI,Soldier Field,Chicago,Bears,CHI,0,Rams,LAR,0
401030823,s:20~l:28~e:401030823,2018-12-09T18:00Z,Carolina Panthers at Cleveland Browns,CAR @ CLE,FirstEnergy Stadium,Cleveland,Browns,CLE,0,Panthers,CAR,0
401030825,s:20~l:28~e:401030825,2018-12-09T18:00Z,Atlanta Falcons at Green Bay Packers,ATL @ GB,Lambeau Field,Green Bay,Packers,GB,0,Falcons,ATL,0
401030764,s:20~l:28~e:401030764,2018-12-09T18:00Z,Baltimore Ravens at Kansas City Chiefs,BAL @ KC,Arrowhead Stadium,Kansas City,Chiefs,KC,0,Ravens,BAL,0
401030761,s:20~l:28~e:401030761,2018-12-09T18:00Z,New England Patriots at Miami Dolphins,NE @ MIA,Hard Rock Stadium,Miami Gardens,Dolphins,MIA,0,Patriots,NE,0
401030758,s:20~l:28~e:401030758,2018-12-09T18:00Z,New Orleans Saints at Tampa Bay Buccaneers,NO @ TB,Raymond James Stadium,Tampa,Buccaneers,TB,0,Saints,NO,0
401030753,s:20~l:28~e:401030753,2018-12-09T18:00Z,New York Giants at Washington Redskins,NYG @ WSH,FedEx Field,Landover,Redskins,WSH,0,Giants,NYG,0
401030813,s:20~l:28~e:401030813,2018-12-09T18:00Z,Indianapolis Colts at Houston Texans,IND @ HOU,NRG Stadium,Houston,Texans,HOU,0,Colts,IND,0
401030851,s:20~l:28~e:401030851,2018-12-09T21:05Z,Cincinnati Bengals at Los Angeles Chargers,CIN @ LAC,StubHub Center,Carson,Chargers,LAC,0,Bengals,CIN,0
401030827,s:20~l:28~e:401030827,2018-12-09T21:05Z,Denver Broncos at San Francisco 49ers,DEN @ SF,Levi's Stadium,Santa Clara,49ers,SF,0,Broncos,DEN,0
401030854,s:20~l:28~e:401030854,2018-12-09T21:25Z,Philadelphia Eagles at Dallas Cowboys,PHI @ DAL,AT&T Stadium,Arlington,Cowboys,DAL,0,Eagles,PHI,0
401030860,s:20~l:28~e:401030860,2018-12-09T21:25Z,Detroit Lions at Arizona Cardinals,DET @ ARI,U of Phoenix Stadium,Glendale,Cardinals,ARI,0,Lions,DET,0
401030863,s:20~l:28~e:401030863,2018-12-10T01:20Z,Pittsburgh Steelers at Oakland Raiders,PIT @ OAK,Oakland Coliseum,Oakland,Raiders,OAK,0,Steelers,PIT,0
401030867,s:20~l:28~e:401030867,2018-12-11T01:15Z,Minnesota Vikings at Seattle Seahawks,MIN @ SEA,CenturyLink Field,Seattle,Seahawks,SEA,0,Vikings,MIN,0
401030874,s:20~l:28~e:401030874,2018-12-14T01:20Z,Los Angeles Chargers at Kansas City Chiefs,LAC @ KC,Arrowhead Stadium,Kansas City,Chiefs,KC,0,Chargers,LAC,0
401030876,s:20~l:28~e:401030876,2018-12-15T21:30Z,Cleveland Browns at Denver Broncos,CLE @ DEN,Broncos Stadium at Mile High,Denver,Broncos,DEN,0,Browns,CLE,0
401030891,s:20~l:28~e:401030891,2018-12-15T21:30Z,Houston Texans at New York Jets,HOU @ NYJ,MetLife Stadium,East Rutherford,Jets,NYJ,0,Texans,HOU,0
401030900,s:20~l:28~e:401030900,2018-12-16T18:00Z,Arizona Cardinals at Atlanta Falcons,ARI @ ATL,Mercedes-Benz Stadium,Atlanta,Falcons,ATL,0,Cardinals,ARI,0
401030896,s:20~l:28~e:401030896,2018-12-16T18:00Z,Detroit Lions at Buffalo Bills,DET @ BUF,New Era Field,Buffalo,Bills,BUF,0,Lions,DET,0
401030893,s:20~l:28~e:401030893,2018-12-16T18:00Z,Green Bay Packers at Chicago Bears,GB @ CHI,Soldier Field,Chicago,Bears,CHI,0,Packers,GB,0
401030909,s:20~l:28~e:401030909,2018-12-16T18:00Z,Oakland Raiders at Cincinnati Bengals,OAK @ CIN,Paul Brown Stadium,Cincinnati,Bengals,CIN,0,Raiders,OAK,0
401030927,s:20~l:28~e:401030927,2018-12-16T18:00Z,Dallas Cowboys at Indianapolis Colts,DAL @ IND,Lucas Oil Stadium,Indianapolis,Colts,IND,0,Cowboys,DAL,0
401030918,s:20~l:28~e:401030918,2018-12-16T18:00Z,Miami Dolphins at Minnesota Vikings,MIA @ MIN,U.S. Bank Stadium,Minneapolis,Vikings,MIN,0,Dolphins,MIA,0
401030915,s:20~l:28~e:401030915,2018-12-16T18:00Z,Tennessee Titans at New York Giants,TEN @ NYG,MetLife Stadium,East Rutherford,Giants,NYG,0,Titans,TEN,0
401030924,s:20~l:28~e:401030924,2018-12-16T18:00Z,Washington Redskins at Jacksonville Jaguars,WSH @ JAX,TIAA Bank Field,Jacksonville,Jaguars,JAX,0,Redskins,WSH,0
401030898,s:20~l:28~e:401030898,2018-12-16T18:00Z,Tampa Bay Buccaneers at Baltimore Ravens,TB @ BAL,M&T Bank Stadium,Baltimore,Ravens,BAL,0,Buccaneers,TB,0
401030950,s:20~l:28~e:401030950,2018-12-16T21:05Z,Seattle Seahawks at San Francisco 49ers,SEA @ SF,Levi's Stadium,Santa Clara,49ers,SF,0,Seahawks,SEA,0
401030956,s:20~l:28~e:401030956,2018-12-16T21:25Z,New England Patriots at Pittsburgh Steelers,NE @ PIT,Heinz Field,Pittsburgh,Steelers,PIT,0,Patriots,NE,0
401030961,s:20~l:28~e:401030961,2018-12-17T01:20Z,Philadelphia Eagles at Los Angeles Rams,PHI @ LAR,Los Angeles Memorial Coliseum,Los Angeles,Rams,LAR,0,Eagles,PHI,0
401030967,s:20~l:28~e:401030967,2018-12-18T01:15Z,New Orleans Saints at Carolina Panthers,NO @ CAR,Bank of America Stadium,Charlotte,Panthers,CAR,0,Saints,NO,0
401030872,s:20~l:28~e:401030872,2018-12-23T18:00Z,Cincinnati Bengals at Cleveland Browns,CIN @ CLE,FirstEnergy Stadium,Cleveland,Browns,CLE,0,Bengals,CIN,0
401030875,s:20~l:28~e:401030875,2018-12-23T18:00Z,Tampa Bay Buccaneers at Dallas Cowboys,TB @ DAL,AT&T Stadium,Arlington,Cowboys,DAL,0,Buccaneers,TB,0
401030877,s:20~l:28~e:401030877,2018-12-23T18:00Z,Minnesota Vikings at Detroit Lions,MIN @ DET,Ford Field,Detroit,Lions,DET,0,Vikings,MIN,0
