date,weekday,time,location,wk,tm_home,tm_away
2019-09-05,Thu,8:20 PM,Soldier Field,1,Chicago,Green Bay
2019-09-08,Sun,1:00 PM,Bank of America Stadium,1,Carolina,LA Rams
2019-09-08,Sun,1:00 PM,Lincoln Financial Field,1,Philadelphia,Washington
2019-09-08,Sun,1:00 PM,MetLife Stadium,1,NY Jets,Buffalo
2019-09-08,Sun,1:00 PM,U.S. Bank Stadium,1,Minnesota,Atlanta
2019-09-08,Sun,1:00 PM,Hard Rock Stadium,1,Miami,Baltimore
2019-09-08,Sun,1:00 PM,TIAA Bank Field,1,Jacksonville,Kansas City
2019-09-08,Sun,1:00 PM,FirstEnergy Stadium,1,Cleveland,Tennessee
2019-09-08,Sun,4:05 PM,CenturyLink Field,1,Seattle,Cincinnati
2019-09-08,Sun,4:05 PM,Dignity Health Sports Park,1,LA Chargers,Indianapolis
2019-09-08,Sun,4:25 PM,Raymond James Stadium,1,Tampa Bay,San Francisco
2019-09-08,Sun,4:25 PM,AT&T Stadium,1,Dallas,NY Giants
2019-09-08,Sun,4:25 PM,State Farm Stadium,1,Arizona,Detroit
2019-09-08,Sun,8:20 PM,Gillette Stadium,1,New England,Pittsburgh
2019-09-09,Mon,7:10 PM,Mercedes-Benz Superdome,1,New Orleans,Houston
2019-09-09,Mon,10:20 PM,RingCentral Coliseum,1,Oakland,Denver
2019-09-12,Thu,8:20 PM,Bank of America Stadium,2,Carolina,Tampa Bay
2019-09-15,Sun,1:00 PM,M&T Bank Stadium,2,Baltimore,Arizona
2019-09-15,Sun,1:00 PM,FedExField,2,Washington,Dallas
2019-09-15,Sun,1:00 PM,Nissan Stadium,2,Tennessee,Indianapolis
2019-09-15,Sun,1:00 PM,Heinz Field,2,Pittsburgh,Seattle
2019-09-15,Sun,1:00 PM,Paul Brown Stadium,2,Cincinnati,San Francisco
2019-09-15,Sun,1:00 PM,Ford Field,2,Detroit,LA Chargers
2019-09-15,Sun,1:00 PM,Lambeau Field,2,Green Bay,Minnesota
2019-09-15,Sun,1:00 PM,NRG Stadium,2,Houston,Jacksonville
2019-09-15,Sun,1:00 PM,Hard Rock Stadium,2,Miami,New England
