season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,MIN,CAR,13,16
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,PHI,NYG,30,24
2006,2,2,2006-09-17,2006-09-17T20:05:00Z,SEA,ARI,10,21
2006,2,2,2006-09-17,2006-09-17T20:15:00Z,DEN,KCY,6,9
2006,2,2,2006-09-17,2006-09-17T20:15:00Z,NYJ,NWE,24,17
2006,2,2,2006-09-18,2006-09-18T00:15:00Z,DAL,WAS,10,27
2006,2,2,2006-09-19,2006-09-19T00:30:00Z,JAX,PIT,0,9
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,BUF,NYJ,28,20
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,DET,GBY,31,24
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,HOU,WAS,31,15
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,IND,JAX,14,21
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,MIA,TEN,10,13
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,MIN,CHI,19,16
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,PIT,CIN,28,20
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,TBY,CAR,26,24
2006,2,3,2006-09-24,2006-09-24T20:05:00Z,CLE,BAL,15,14
2006,2,3,2006-09-24,2006-09-24T20:15:00Z,SEA,NYG,30,42
2006,2,3,2006-09-24,2006-09-24T20:15:00Z,SFO,PHI,38,24
2006,2,3,2006-09-25,2006-09-25T00:15:00Z,NWE,DEN,17,7
2006,2,3,2006-09-26,2006-09-26T00:30:00Z,NOR,ATL,3,23
2006,2,4,2006-10-01,2006-10-01T17:00:00Z,ATL,ARI,10,32
2006,2,4,2006-10-01,2006-10-01T17:00:00Z,BUF,MIN,12,17
2006,2,4,2006-10-01,2006-10-01T17:00:00Z,CAR,NOR,18,21
2006,2,4,2006-10-01,2006-10-01T17:00:00Z,HOU,MIA,15,17
2006,2,4,2006-10-01,2006-10-01T17:00:00Z,KCY,SFO,0,41
2006,2,4,2006-10-01,2006-10-01T17:00:00Z,NYJ,IND,31,28
2006,2,4,2006-10-01,2006-10-01T17:00:00Z,TEN,DAL,45,14
2006,2,4,2006-10-01,2006-10-01T20:15:00Z,CIN,NWE,38,13
2006,2,4,2006-10-01,2006-10-01T20:15:00Z,OAK,CLE,24,21
2006,2,4,2006-10-01,2006-10-01T20:15:00Z,WAS,JAX,30,36
2006,2,4,2006-10-02,2006-10-02T00:15:00Z,CHI,SEA,6,37
2006,2,4,2006-10-03,2006-10-03T00:30:00Z,PHI,GBY,9,31
2006,2,5,2006-10-08,2006-10-08T17:00:00Z,CAR,CLE,12,20
2006,2,5,2006-10-08,2006-10-08T17:00:00Z,CHI,BUF,7,40
2006,2,5,2006-10-08,2006-10-08T17:00:00Z,IND,TEN,13,14
2006,2,5,2006-10-08,2006-10-08T17:00:00Z,MIN,DET,17,26
2006,2,5,2006-10-08,2006-10-08T17:00:00Z,NOR,TBY,21,24
2006,2,5,2006-10-08,2006-10-08T17:00:00Z,NWE,MIA,10,20
2006,2,5,2006-10-08,2006-10-08T17:00:00Z,NYG,WAS,3,19
2006,2,5,2006-10-08,2006-10-08T20:05:00Z,ARI,KCY,23,20
2006,2,5,2006-10-08,2006-10-08T20:05:00Z,JAX,NYJ,0,41
2006,2,5,2006-10-08,2006-10-08T20:05:00Z,SFO,OAK,20,34
2006,2,5,2006-10-08,2006-10-08T20:15:00Z,PHI,DAL,24,38
2006,2,5,2006-10-10,2006-10-10T00:30:00Z,DEN,BAL,3,13
2006,2,6,2006-10-15,2006-10-15T17:00:00Z,ATL,NYG,27,14
2006,2,6,2006-10-15,2006-10-15T17:00:00Z,BAL,CAR,23,21
2006,2,6,2006-10-15,2006-10-15T17:00:00Z,DAL,HOU,6,34
2006,2,6,2006-10-15,2006-10-15T17:00:00Z,DET,BUF,17,20
