seasontype,season,wk,wk_season,tm_home,tm_away
2,2020,1,1,KCY,HOU
2,2020,1,1,ATL,SEA
2,2020,1,1,WAS,PHI
2,2020,1,1,BUF,NYJ
2,2020,1,1,MIN,GBY
2,2020,1,1,JAX,IND
2,2020,1,1,DET,CHI
2,2020,1,1,BAL,CLE
2,2020,1,1,CAR,LVR
2,2020,1,1,NWE,MIA
2,2020,1,1,CIN,LAC
2,2020,1,1,NOR,TBY
2,2020,1,1,SFO,ARI
2,2020,1,1,LAR,DAL
2,2020,1,1,NYG,PIT
2,2020,1,1,DEN,TEN
2,2020,2,2,CLE,CIN
2,2020,2,2,CHI,NYG
2,2020,2,2,TEN,JAX
2,2020,2,2,TBY,CAR
2,2020,2,2,PHI,LAR
2,2020,2,2,DAL,ATL
2,2020,2,2,GBY,DET
2,2020,2,2,IND,MIN
2,2020,2,2,MIA,BUF
2,2020,2,2,NYJ,SFO
2,2020,2,2,PIT,DEN
2,2020,2,2,ARI,WAS
2,2020,2,2,LAC,KCY
2,2020,2,2,HOU,BAL
2,2020,2,2,SEA,NWE
2,2020,2,2,LVR,NOR
2,2020,3,3,JAX,MIA
2,2020,3,3,NYG,SFO
2,2020,3,3,MIN,TEN
2,2020,3,3,CLE,WAS
2,2020,3,3,PHI,CIN
2,2020,3,3,BUF,LAR
2,2020,3,3,ATL,CHI
2,2020,3,3,NWE,LVR
2,2020,3,3,PIT,HOU
2,2020,3,3,LAC,CAR
2,2020,3,3,IND,NYJ
2,2020,3,3,ARI,DET
2,2020,3,3,DEN,TBY
2,2020,3,3,SEA,DAL
2,2020,3,3,NOR,GBY
2,2020,3,3,BAL,KCY
2,2020,4,4,NYJ,DEN
2,2020,4,4,CAR,ARI
2,2020,4,4,WAS,BAL
2,2020,4,4,TBY,LAC
2,2020,4,4,MIA,SEA
2,2020,4,4,CHI,IND
2,2020,4,4,CIN,JAX
2,2020,4,4,DAL,CLE
2,2020,4,4,DET,NOR
2,2020,4,4,HOU,MIN
2,2020,4,4,TEN,PIT
2,2020,4,4,LAR,NYG
2,2020,4,4,LVR,BUF
2,2020,4,4,KCY,NWE
2,2020,4,4,SFO,PHI
2,2020,4,4,GBY,ATL
2,2020,5,5,CHI,TBY
2,2020,5,5,ATL,CAR
2,2020,5,5,WAS,LAR
2,2020,5,5,TEN,BUF
2,2020,5,5,NYJ,ARI
2,2020,5,5,BAL,CIN
2,2020,5,5,NWE,DEN
2,2020,5,5,PIT,PHI
2,2020,5,5,HOU,JAX
2,2020,5,5,KCY,LVR
2,2020,5,5,SFO,MIA
2,2020,5,5,DAL,NYG
2,2020,5,5,CLE,IND
2,2020,5,5,SEA,MIN
2,2020,5,5,NOR,LAC
