seasontype,season,wk,wk_season,tm_home,tm_away
2,2020,6,6,BUF,KCY
2,2020,6,6,IND,CIN
2,2020,6,6,JAX,DET
2,2020,6,6,MIN,ATL
2,2020,6,6,NYG,WAS
2,2020,6,6,CAR,CHI
2,2020,6,6,PHI,BAL
2,2020,6,6,TEN,HOU
2,2020,6,6,PIT,CLE
2,2020,6,6,DEN,MIA
2,2020,6,6,LAC,NYJ
2,2020,6,6,TBY,GBY
2,2020,6,6,SFO,LAR
2,2020,6,6,DAL,ARI
2,2020,7,7,PHI,NYG
2,2020,7,7,HOU,GBY
2,2020,7,7,MIA,LAC
2,2020,7,7,CIN,CLE
2,2020,7,7,WAS,DAL
2,2020,7,7,NYJ,BUF
2,2020,7,7,NOR,CAR
2,2020,7,7,ATL,DET
2,2020,7,7,BAL,PIT
2,2020,7,7,ARI,SEA
2,2020,7,7,DEN,KCY
2,2020,7,7,NWE,SFO
2,2020,7,7,LVR,TBY
2,2020,7,7,LAR,CHI
2,2020,8,8,CAR,ATL
2,2020,8,8,CIN,TEN
2,2020,8,8,CLE,LVR
2,2020,8,8,DET,IND
2,2020,8,8,GBY,MIN
2,2020,8,8,BUF,NWE
2,2020,8,8,KCY,NYJ
2,2020,8,8,MIA,LAR
2,2020,8,8,LAC,JAX
2,2020,8,8,CHI,NOR
2,2020,8,8,SEA,SFO
2,2020,8,8,PHI,DAL
2,2020,8,8,NYG,TBY
2,2020,9,9,SFO,GBY
2,2020,9,9,MIN,DET
2,2020,9,9,WAS,NYG
2,2020,9,9,KCY,CAR
2,2020,9,9,ATL,DEN
2,2020,9,9,IND,BAL
2,2020,9,9,JAX,HOU
2,2020,9,9,BUF,SEA
2,2020,9,9,TEN,CHI
2,2020,9,9,LAC,LVR
2,2020,9,9,ARI,MIA
2,2020,9,9,DAL,PIT
2,2020,9,9,TBY,NOR
2,2020,9,9,NYJ,NWE
2,2020,10,10,TEN,IND
2,2020,10,10,CLE,HOU
2,2020,10,10,DET,WAS
2,2020,10,10,GBY,JAX
2,2020,10,10,NYG,PHI
2,2020,10,10,CAR,TBY
2,2020,10,10,PIT,CIN
2,2020,10,10,ARI,BUF
2,2020,10,10,LVR,DEN
2,2020,10,10,MIA,NYJ
2,2020,10,10,LAR,SEA
2,2020,10,10,NOR,SFO
2,2020,10,10,NWE,BAL
2,2020,10,10,CHI,MIN
2,2020,11,11,SEA,ARI
2,2020,11,11,CAR,DET
2,2020,11,11,BAL,TEN
2,2020,11,11,CLE,PHI
2,2020,11,11,IND,GBY
2,2020,11,11,WAS,CIN
2,2020,11,11,NOR,ATL
2,2020,11,11,HOU,NWE
2,2020,11,11,JAX,PIT
2,2020,11,11,DEN,LAC
2,2020,11,11,MIN,DAL
2,2020,11,11,LVR,KCY
2,2020,11,11,TBY,LAR
2,2020,12,12,DET,HOU
2,2020,12,12,DAL,WAS
2,2020,12,12,PIT,BAL
2,2020,12,12,NWE,ARI
2,2020,12,12,IND,TEN
2,2020,12,12,CIN,NYG
2,2020,12,12,BUF,LAC
2,2020,12,12,ATL,LVR
2,2020,12,12,JAX,CLE
2,2020,12,12,NYJ,MIA
2,2020,12,12,MIN,CAR
2,2020,12,12,DEN,NOR
2,2020,12,12,LAR,SFO
2,2020,12,12,TBY,KCY
2,2020,12,12,GBY,CHI
2,2020,12,12,PHI,SEA
2,2020,13,13,BAL,DAL
2,2020,13,13,ATL,NOR
2,2020,13,13,PIT,WAS
2,2020,13,13,CHI,DET
2,2020,13,13,HOU,IND
2,2020,13,13,MIA,CIN
2,2020,13,13,MIN,JAX
2,2020,13,13,TEN,CLE
2,2020,13,13,NYJ,LVR
2,2020,13,13,SEA,NYG
2,2020,13,13,ARI,LAR
2,2020,13,13,GBY,PHI
2,2020,13,13,LAC,NWE
2,2020,13,13,KCY,DEN
2,2020,13,13,SFO,BUF
2,2020,14,14,LAR,NWE
2,2020,14,14,CAR,DEN
2,2020,14,14,TBY,MIN
2,2020,14,14,NYG,ARI
2,2020,14,14,MIA,KCY
2,2020,14,14,JAX,TEN
2,2020,14,14,DET,GBY
2,2020,14,14,CIN,DAL
2,2020,14,14,CHI,HOU
2,2020,14,14,SEA,NYJ
2,2020,14,14,LVR,IND
2,2020,14,14,SFO,WAS
2,2020,14,14,PHI,NOR
2,2020,14,14,LAC,ATL
2,2020,14,14,BUF,PIT
2,2020,14,14,CLE,BAL
2,2020,15,15,LVR,LAC
2,2020,15,15,TEN,DET
2,2020,15,15,LAR,NYJ
2,2020,15,15,GBY,CAR
2,2020,15,15,IND,HOU
2,2020,15,15,DEN,BUF
2,2020,15,15,WAS,SEA
2,2020,15,15,MIN,CHI
2,2020,15,15,NYG,CLE
2,2020,15,15,ATL,TBY
2,2020,15,15,BAL,JAX
2,2020,15,15,MIA,NWE
2,2020,15,15,ARI,PHI
2,2020,15,15,NOR,KCY
2,2020,15,15,DAL,SFO
2,2020,15,15,CIN,PIT
2,2020,16,16,NOR,MIN
2,2020,16,16,NYJ,CLE
2,2020,16,16,LVR,MIA
2,2020,16,16,LAC,DEN
2,2020,16,16,DET,TBY
2,2020,16,16,ARI,SFO
2,2020,16,16,WAS,CAR
2,2020,16,16,KCY,ATL
2,2020,16,16,HOU,CIN
2,2020,16,16,JAX,CHI
2,2020,16,16,BAL,NYG
2,2020,16,16,PIT,IND
2,2020,16,16,SEA,LAR
2,2020,16,16,DAL,PHI
2,2020,16,16,GBY,TEN
2,2020,16,16,NWE,BUF
2,2020,17,17,NWE,NYJ
2,2020,17,17,CLE,PIT
2,2020,17,17,TBY,ATL
2,2020,17,17,NYG,DAL
2,2020,17,17,PHI,WAS
2,2020,17,17,KCY,LAC
2,2020,17,17,DET,MIN
2,2020,17,17,CIN,BAL
2,2020,17,17,BUF,MIA
2,2020,17,17,CHI,GBY
2,2020,17,17,HOU,TEN
2,2020,17,17,IND,JAX
2,2020,17,17,CAR,NOR
2,2020,17,17,DEN,LVR
2,2020,17,17,LAR,ARI
2,2020,17,17,SFO,SEA
