trend,sc,season,tm_tr,tm,w,l,t,mov,ats,total
ats,is_after_loss,2016,New Orleans,NOR,6,2,0,2.1,2.9,NA
ats,is_after_loss,2016,New England,NWE,2,0,0,16.5,6.2,NA
ats,is_after_loss,2016,NY Giants,NYG,3,1,1,-1,2.9,NA
ats,is_after_loss,2016,NY Jets,NYJ,5,6,0,-8.2,-3.7,NA
ats,is_after_loss,2016,Oakland,OAK,3,1,0,3.5,4,NA
ats,is_after_loss,2016,Philadelphia,PHI,4,5,0,-2.8,-2.3,NA
ats,is_after_loss,2016,Pittsburgh,PIT,2,3,0,4.2,2.2,NA
ats,is_after_loss,2016,Seattle,SEA,4,1,0,16.2,6.1,NA
ats,is_after_loss,2016,San Francisco,SFO,2,10,1,-13.7,-8,NA
ats,is_after_loss,2016,Tampa Bay,TBY,2,5,0,-2.4,-0.6,NA
ats,is_after_loss,2016,Tennessee,TEN,5,2,0,8,8.4,NA
ats,is_after_loss,2016,Washington,WAS,4,2,0,2.5,2.6,NA
ats,is_after_loss,2017,Arizona,ARI,5,3,0,5.2,4.6,NA
ats,is_after_loss,2017,Atlanta,ATL,3,3,0,3.5,-1.2,NA
ats,is_after_loss,2017,Baltimore,BAL,4,2,0,11.3,11.2,NA
ats,is_after_loss,2017,Buffalo,BUF,4,2,1,-5.1,-3.4,NA
ats,is_after_loss,2017,Carolina,CAR,4,1,0,1,4.4,NA
ats,is_after_loss,2017,Chicago,CHI,5,4,1,-1.2,2.1,NA
ats,is_after_loss,2017,Cincinnati,CIN,5,4,0,-3,-2.5,NA
ats,is_after_loss,2017,Cleveland,CLE,3,12,0,-11.5,-5.2,NA
ats,is_after_loss,2017,Dallas,DAL,4,3,0,2.4,1.4,NA
ats,is_after_loss,2017,Denver,DEN,2,8,0,-9.4,-8,NA
ats,is_after_loss,2017,Detroit,DET,4,3,0,0.6,1.1,NA
ats,is_after_loss,2017,Green Bay,GBY,3,5,0,-6.1,-2.3,NA
ats,is_after_loss,2017,Houston,HOU,4,7,0,-5,-2,NA
ats,is_after_loss,2017,Indianapolis,IND,7,5,0,-4.9,-0.4,NA
ats,is_after_loss,2017,Jacksonville,JAX,4,2,0,17.8,16.5,NA
ats,is_after_loss,2017,Kansas City,KCY,2,4,0,0.7,-5.5,NA
ats,is_after_loss,2017,LA Chargers,LAC,3,4,0,3,1.7,NA
ats,is_after_loss,2017,LA Rams,LAR,3,2,0,8,5.6,NA
ats,is_after_loss,2017,Miami,MIA,2,6,1,-7.2,-1.9,NA
ats,is_after_loss,2017,Minnesota,MIN,2,1,0,15.7,10.3,NA
