tm_home,tm_away,pts_home,pts_away
LAR,MIN,38,31
DAL,DET,26,24
GBY,BUF,22,0
IND,HOU,34,37
CHI,TBY,48,10
ATL,CIN,36,37
JAX,NYJ,31,12
TEN,PHI,26,23
NWE,MIA,38,7
ARI,SEA,17,20
OAK,CLE,45,42
NYG,NOR,18,33
LAC,SFO,29,27
