tm_home,tm_away,pts_home,pts_away
SEA,GBY,27,24
CHI,MIN,25,20
BAL,CIN,24,21
ATL,DAL,19,22
DET,CAR,20,19
NOR,PHI,48,7
WAS,HOU,21,23
NYG,TBY,38,35
IND,TEN,38,10
ARI,OAK,21,23
LAC,DEN,22,23
JAX,PIT,16,20
